"Text","Binary_Sentiment","Cont_Sentiment"
"i will take      the wall of any man or maid of montague's","1.0","6.4772586822509766"
"greg","1.0","3.677858829498291"
"that shows thee a weak slave  for the weakest goes to the      wall","1.0","2.5828342437744141"
"samp","0.0","-1.5365645885467529"
"'tis true  and therefore women, being the weaker vessels,      are ever thrust to the wall","0.0","-1.650209903717041"
"therefore i will push montague's men      from the wall and thrust his maids to the wall","0.0","-0.21067285537719727"
"greg","1.0","3.677858829498291"
"the quarrel is between our masters and us their men","1.0","6.0215625762939453"
"samp","0.0","-1.5365645885467529"
"'tis all one","1.0","0.28704929351806641"
"i will show myself a tyrant","0.0","-0.60850125551223755"
"when i have      fought with the men, i will be cruel with the maids  i will cut off      their heads","0.0","-3.4343910217285156"
"greg","1.0","3.677858829498291"
"the heads of the maids?","1.0","6.721043586730957"
"samp","0.0","-1.5365645885467529"
"ay, the heads of the maids, or their maidenheads","1.0","5.3099050521850586"
"take it in what sense thou wilt","0.0","-1.0817675590515137"
"greg","1.0","3.677858829498291"
"they must take it in sense that feel it","1.0","8.2364091873168945"
"samp","0.0","-1.5365645885467529"
"me they shall feel while i am able to stand  and 'tis known i      am a pretty piece of flesh","1.0","0.7146446704864502"
"greg","1.0","3.677858829498291"
"'tis well thou art not fish  if thou hadst, thou hadst      been poor john","0.0","-2.8297374248504639"
"draw thy tool!","1.0","1.9717020988464355"
"here comes two of the house of      montagues","1.0","0.49925613403320312"
"enter two other servingmen  abram and balthasar","0.0","-0.77047371864318848"
"samp","0.0","-1.5365645885467529"
"my naked weapon is out","1.0","0.05776214599609375"
"quarrel!","1.0","4.2881808280944824"
"i will back thee","1.0","1.0117106437683105"
"greg","1.0","3.677858829498291"
"how?","1.0","4.7736587524414062"
"turn thy back and run?","0.0","-7.6059842109680176"
"samp","0.0","-1.5365645885467529"
"fear me not","1.0","0.4106595516204834"
"greg","1.0","3.677858829498291"
"no, marry","1.0","1.6644229888916016"
"i fear thee!","1.0","1.9122062921524048"
"samp","0.0","-1.5365645885467529"
"let us take the law of our sides  let them begin","0.0","-2.9591929912567139"
"greg","1.0","3.677858829498291"
"i will frown as i pass by, and let them take it as they list","0.0","-2.4108273983001709"
"samp","0.0","-1.5365645885467529"
"nay, as they dare","0.0","-1.5463523864746094"
"i will bite my thumb at them  which is      disgrace to them, if they bear it","1.0","1.5059325695037842"
"abr","0.0","-1.5365645885467529"
"do you bite your thumb at us, sir?","1.0","4.1696023941040039"
"samp","0.0","-1.5365645885467529"
"i do bite my thumb, sir","1.0","2.4055361747741699"
"abr","0.0","-1.5365645885467529"
"do you bite your thumb at us, sir?","1.0","4.1696023941040039"
"samp","0.0","-1.5365645885467529"
"aside to gregory  is the law of our side if i say ay?","1.0","6.5583839416503906"
"greg","1.0","3.677858829498291"
"aside to sampson  no","1.0","9.3836660385131836"
"samp","0.0","-1.5365645885467529"
"no, sir, i do not bite my thumb at you, sir  but i bite my      thumb, sir","0.0","-0.74513083696365356"
"greg","1.0","3.677858829498291"
"do you quarrel, sir?","0.0","-0.17727512121200562"
"abr","0.0","-1.5365645885467529"
"quarrel, sir?","0.0","-2.1988818645477295"
"no, sir","0.0","-3.7481739521026611"
"samp","0.0","-1.5365645885467529"
"but if you do, sir, am for you","0.0","-1.4625341892242432"
"i serve as good a man as      you","1.0","5.7004871368408203"
"abr","0.0","-1.5365645885467529"
"no better","1.0","1.0853514671325684"
"samp","0.0","-1.5365645885467529"
"well, sir","0.0","-5.3177018165588379"
"enter benvolio","1.0","2.7901337146759033"
"greg","1.0","3.677858829498291"
"aside to sampson  say 'better '","1.0","8.7116127014160156"
"here comes one of my      master's kinsmen","1.0","2.6303744316101074"
"samp","0.0","-1.5365645885467529"
"yes, better, sir","0.0","-4.3305492401123047"
"abr","0.0","-1.5365645885467529"
"you lie","1.0","4.8115043640136719"
"samp","0.0","-1.5365645885467529"
"draw, if you be men","1.0","0.70045900344848633"
"gregory, remember thy swashing blow","0.0","-2.3379888534545898"
"they fight","0.0","-3.2379140853881836"
"ben","0.0","-11.349556922912598"
"part, fools!","0.0","-2.1289234161376953"
"beats down their swords","1.0","8.2158927917480469"
"put up your swords","1.0","3.2001266479492188"
"you know not what you do","1.0","2.9756984710693359"
"enter tybalt","1.0","2.7901337146759033"
"tyb","0.0","-1.5365645885467529"
"what, art thou drawn among these heartless hinds?","1.0","1.8534924983978271"
"turn thee benvolio!","0.0","-7.3419580459594727"
"look upon thy death","1.0","3.862689733505249"
"ben","0.0","-11.349556922912598"
"i do but keep the peace","1.0","5.0785350799560547"
"put up thy sword,      or manage it to part these men with me","1.0","5.9586176872253418"
"tyb","0.0","-1.5365645885467529"
"what, drawn, and talk of peace?","1.0","5.3105363845825195"
"i hate the word      as i hate hell, all montagues, and thee","1.0","4.7825946807861328"
"have at thee, coward!","1.0","4.3993391990661621"
"they fight","0.0","-3.2379140853881836"
"enter an officer, and three or four citizens with clubs or                            partisans","1.0","8.2635288238525391"
"officer","0.0","-2.1780152320861816"
"clubs, bills, and partisans!","1.0","2.7002964019775391"
"strike!","0.0","-1.4313085079193115"
"beat them down!","1.0","4.0162320137023926"
"citizens","0.0","-1.5365645885467529"
"down with the capulets!","1.0","1.0724785327911377"
"down with the montagues!","1.0","1.0724785327911377"
"enter old capulet in his gown, and his wife","1.0","10.784274101257324"
"cap","0.0","-1.5365645885467529"
"what noise is this?","0.0","-3.488717794418335"
"give me my long sword, ho!","0.0","-1.7081828117370605"
"wife","1.0","8.3512897491455078"
"a crutch, a crutch!","1.0","4.6034727096557617"
"why call you for a sword?","0.0","-2.8977775573730469"
"cap","0.0","-1.5365645885467529"
"my sword, i say!","1.0","5.5798048973083496"
"old montague is come      and flourishes his blade in spite of me","1.0","16.548999786376953"
"enter old montague and his wife","1.0","9.3152256011962891"
"mon","1.0","0.46528720855712891"
"thou villain capulet!  hold me not, let me go","1.0","4.3019123077392578"
"m  wife","0.0","-1.6014659404754639"
"thou shalt not stir one foot to seek a foe","0.0","-1.954150915145874"
"enter prince escalus, with his train","1.0","6.6585917472839355"
"prince","1.0","0.96604728698730469"
"rebellious subjects, enemies to peace,      profaners of this neighbour stained steel       will they not hear?","1.0","0.46228766441345215"
"what, ho!","0.0","-1.8972666263580322"
"you men, you beasts,      that quench the fire of your pernicious rage      with purple fountains issuing from your veins!","1.0","2.373511791229248"
"on pain of torture, from those bloody hands      throw your mistempered weapons to the ground      and hear the sentence of your moved prince","0.0","-1.247528076171875"
"three civil brawls, bred of an airy word      by thee, old capulet, and montague,      have thrice disturb'd the quiet of our streets      and made verona's ancient citizens      cast by their grave beseeming ornaments      to wield old partisans, in hands as old,      cank'red with peace, to part your cank'red hate","1.0","0.38524627685546875"
"if ever you disturb our streets again,      your lives shall pay the forfeit of the peace","1.0","7.355860710144043"
"for this time all the rest depart away","0.0","-4.0296268463134766"
"you, capulet, shall go along with me       and, montague, come you this afternoon,      to know our farther pleasure in this case,      to old freetown, our common judgment place","0.0","-0.62377053499221802"
"once more, on pain of death, all men depart","0.0","-3.2902359962463379"
"exeunt  all but montague, his wife, and benvolio","1.0","4.3094053268432617"
"mon","1.0","0.46528720855712891"
"who set this ancient quarrel new abroach?","0.0","-1.3403949737548828"
"speak, nephew, were you by when it began?","0.0","-1.9649834632873535"
"ben","0.0","-11.349556922912598"
"here were the servants of your adversary      and yours, close fighting ere i did approach","0.0","-3.5998482704162598"
"i drew to part them","1.0","1.484831690788269"
"in the instant came      the fiery tybalt, with his sword prepar'd       which, as he breath'd defiance to my ears,      he swung about his head and cut the winds,      who, nothing hurt withal, hiss'd him in scorn","1.0","1.8653163909912109"
"while we were interchanging thrusts and blows,      came more and more, and fought on part and part,      till the prince came, who parted either part","0.0","-0.076555728912353516"
"m  wife","0.0","-1.6014659404754639"
"o, where is romeo?","0.0","-0.028268814086914062"
"saw you him to day?","1.0","1.3578798770904541"
"right glad i am he was not at this fray","1.0","0.024286270141601562"
"ben","0.0","-11.349556922912598"
"madam, an hour before the worshipp'd sun      peer'd forth the golden window of the east,      a troubled mind drave me to walk abroad       where, underneath the grove of sycamore      that westward rooteth from the city's side,      so early walking did i see your son","1.0","4.6642494201660156"
"towards him i made  but he was ware of me      and stole into the covert of the wood","1.0","1.1755332946777344"
"i  measuring his affections by my own,      which then most sought where most might not be found,      being one too many by my weary self       pursu'd my humour, not pursuing his,      and gladly shunn'd who gladly fled from me","0.0","-6.5613803863525391"
"mon","1.0","0.46528720855712891"
"many a morning hath he there been seen,      with tears augmenting the fresh morning's dew,      adding to clouds more clouds with his deep sighs       but all so soon as the all cheering sun      should in the furthest east bean to draw      the shady curtains from aurora's bed,      away from light steals home my heavy son      and private in his chamber pens himself,      shuts up his windows, locks fair daylight      and makes himself an artificial night","1.0","4.9283885955810547"
"black and portentous must this humour prove      unless good counsel may the cause remove","0.0","-5.1749734878540039"
"ben","0.0","-11.349556922912598"
"my noble uncle, do you know the cause?","1.0","2.3134262561798096"
"mon","1.0","0.46528720855712891"
"i neither know it nor can learn of him      ben","0.0","-8.8035764694213867"
"have you importun'd him by any means?","1.0","1.2716977596282959"
"mon","1.0","0.46528720855712891"
"both by myself and many other friend       but he, his own affections' counsellor,      is to himself  i will not say how true       but to himself so secret and so close,      so far from sounding and discovery,      as is the bud bit with an envious worm      ere he can spread his sweet leaves to the air      or dedicate his beauty to the sun","0.0","-5.211153507232666"
"could we but learn from whence his sorrows grow,      we would as willingly give cure as know","0.0","-3.332179069519043"
"enter romeo","1.0","0.43817496299743652"
"ben","0.0","-11.349556922912598"
"see, where he comes","1.0","7.9208574295043945"
"so please you step aside,      i'll know his grievance, or be much denied","1.0","6.2020130157470703"
"mon","1.0","0.46528720855712891"
"i would thou wert so happy by thy stay      to hear true shrift","1.0","0.12690997123718262"
"come, madam, let's away,                                       exeunt  montague and wife","0.0","-0.093962669372558594"
"ben","0.0","-11.349556922912598"
"good morrow, cousin","1.0","8.1938257217407227"
"rom","0.0","-1.7296195030212402"
"is the day so young?","1.0","2.4766943454742432"
"ben","0.0","-11.349556922912598"
"but new struck nine","1.0","2.826930046081543"
"rom","0.0","-1.7296195030212402"
"ay me!","1.0","3.1792304515838623"
"sad hours seem long","0.0","-2.4509732723236084"
"was that my father that went hence so fast?","0.0","-5.7508230209350586"
"ben","0.0","-11.349556922912598"
"it was","1.0","2.9850864410400391"
"what sadness lengthens romeo's hours?","1.0","1.0345168113708496"
"rom","0.0","-1.7296195030212402"
"not having that which having makes them short","0.0","-4.5154533386230469"
"ben","0.0","-11.349556922912598"
"in love?","1.0","3.5358529090881348"
"rom","0.0","-1.7296195030212402"
"out       ben","0.0","-2.1332888603210449"
"of love?","1.0","3.0408577919006348"
"rom","0.0","-1.7296195030212402"
"out of her favour where i am in love","1.0","0.91358327865600586"
"ben","0.0","-11.349556922912598"
"alas that love, so gentle in his view,      should be so tyrannous and rough in proof!","0.0","-10.903364181518555"
"rom","0.0","-1.7296195030212402"
"alas that love, whose view is muffled still,      should without eyes see pathways to his will!","0.0","-7.1399679183959961"
"where shall we dine?","0.0","-1.2330782413482666"
"o me!","1.0","2.2982082366943359"
"what fray was here?","1.0","2.1990089416503906"
"yet tell me not, for i have heard it all","0.0","-5.9166593551635742"
"here's much to do with hate, but more with love","1.0","1.3005995750427246"
"why then, o brawling love!","0.0","-3.4926860332489014"
"o loving hate!","1.0","6.5780258178710938"
"o anything, of nothing first create!","1.0","1.1394028663635254"
"o heavy lightness!","1.0","3.6921324729919434"
"serious vanity!","1.0","1.9062676429748535"
"misshapen chaos of well seeming forms!","1.0","4.2063779830932617"
"feather of lead, bright smoke, cold fire, sick health!","0.0","-1.9503309726715088"
"still waking sleep, that is not what it is      this love feel i, that feel no love in this","0.0","-2.8616397380828857"
"dost thou not laugh?","1.0","2.2958950996398926"
"ben","0.0","-11.349556922912598"
"no, coz, i rather weep","1.0","0.29151779413223267"
"rom","0.0","-1.7296195030212402"
"good heart, at what?","1.0","5.6012887954711914"
"ben","0.0","-11.349556922912598"
"at thy good heart's oppression","1.0","5.7984704971313477"
"rom","0.0","-1.7296195030212402"
"why, such is love's transgression","0.0","-3.9872865676879883"
"griefs of mine own lie heavy in my breast,      which thou wilt propagate, to have it prest      with more of thine","0.0","-2.8455555438995361"
"this love that thou hast shown      doth add more grief to too much of mine own","0.0","-3.7750053405761719"
"love is a smoke rais'd with the fume of sighs       being purg'd, a fire sparkling in lovers' eyes       being vex'd, a sea nourish'd with lovers' tears","1.0","5.6552877426147461"
"what is it else?","1.0","1.1890397071838379"
"a madness most discreet,      a choking gall, and a preserving sweet","1.0","3.681549072265625"
"farewell, my coz","0.0","-3.2529873847961426"
"ben","0.0","-11.349556922912598"
"soft!","1.0","2.4769101142883301"
"i will go along","1.0","3.2204442024230957"
"an if you leave me so, you do me wrong","0.0","-2.6580398082733154"
"rom","0.0","-1.7296195030212402"
"tut!","1.0","4.2881808280944824"
"i have lost myself  i am not here       this is not romeo, he's some other where","0.0","-6.5921692848205566"
"ben","0.0","-11.349556922912598"
"tell me in sadness, who is that you love?","1.0","3.8864011764526367"
"rom","0.0","-1.7296195030212402"
"what, shall i groan and tell thee?","0.0","-5.8888731002807617"
"ben","0.0","-11.349556922912598"
"groan?","0.0","-0.50247162580490112"
"why, no       but sadly tell me who","0.0","-8.3707103729248047"
"rom","0.0","-1.7296195030212402"
"bid a sick man in sadness make his will","1.0","1.9678859710693359"
"ah, word ill urg'd to one that is so ill!","0.0","-6.531857967376709"
"in sadness, cousin, i do love a woman","1.0","0.48711204528808594"
"ben","0.0","-11.349556922912598"
"i aim'd so near when i suppos'd you lov'd","1.0","5.7520942687988281"
"rom","0.0","-1.7296195030212402"
"a right good markman!","1.0","3.7302780151367188"
"and she's fair i love","0.0","-1.2291045188903809"
"ben","0.0","-11.349556922912598"
"a right fair mark, fair coz, is soonest hit","1.0","5.0498924255371094"
"rom","0.0","-1.7296195030212402"
"well, in that hit you miss","1.0","1.2622780799865723"
"she'll not be hit      with cupid's arrow","1.0","0.68113994598388672"
"she hath dian's wit,      and, in strong proof of chastity well arm'd,      from love's weak childish bow she lives unharm'd","1.0","2.0472593307495117"
"she will not stay the siege of loving terms,      nor bide th' encounter of assailing eyes,      nor ope her lap to saint seducing gold","0.0","-1.4727528095245361"
"o, she's rich in beauty  only poor      that, when she dies, with beauty dies her store","1.0","0.05785059928894043"
"ben","0.0","-11.349556922912598"
"then she hath sworn that she will still live chaste?","1.0","2.2070655822753906"
"rom","0.0","-1.7296195030212402"
"she hath, and in that sparing makes huge waste       for beauty, starv'd with her severity,      cuts beauty off from all posterity","1.0","0.66445541381835938"
"she is too fair, too wise, wisely too fair,      to merit bliss by making me despair","0.0","-2.6041676998138428"
"she hath forsworn to love, and in that vow      do i live dead that live to tell it now","1.0","1.8184356689453125"
"ben","0.0","-11.349556922912598"
"be rul'd by me  forget to think of her","1.0","7.0803956985473633"
"rom","0.0","-1.7296195030212402"
"o, teach me how i should forget to think!","1.0","0.40868425369262695"
"ben","0.0","-11.349556922912598"
"by giving liberty unto thine eyes","1.0","9.7165164947509766"
"examine other beauties","0.0","-7.5958662033081055"
"rom","0.0","-1.7296195030212402"
"'tis the way      to call hers (exquisite) in question more","1.0","7.2462530136108398"
"these happy masks that kiss fair ladies' brows,      being black puts us in mind they hide the fair","1.0","3.2691481113433838"
"he that is strucken blind cannot forget      the precious treasure of his eyesight lost","1.0","1.5289242267608643"
"show me a mistress that is passing fair,      what doth her beauty serve but as a note      where i may read who pass'd that passing fair?","0.0","-1.9890067577362061"
"farewell","0.0","-10.34326171875"
"thou canst not teach me to forget","1.0","1.8342609405517578"
"ben","0.0","-11.349556922912598"
"i'll pay that doctrine, or else die in debt","1.0","0.4586179256439209"
"exeunt","0.0","-1.5365645885467529"
"scene ii","1.0","3.1183614730834961"
"a street","1.0","2.1033034324645996"
"enter capulet, county paris, and  servant   the clown","1.0","7.2073955535888672"
"cap","0.0","-1.5365645885467529"
"but montague is bound as well as i,      in penalty alike  and 'tis not hard, i think,      for men so old as we to keep the peace","1.0","4.428438663482666"
"par","1.0","8.4952068328857422"
"of honourable reckoning are you both,      and pity 'tis you liv'd at odds so long","1.0","4.1099910736083984"
"but now, my lord, what say you to my suit?","1.0","2.5066113471984863"
"cap","0.0","-1.5365645885467529"
"but saying o'er what i have said before       my child is yet a stranger in the world,      she hath not seen the change of fourteen years       let two more summers wither in their pride      ere we may think her ripe to be a bride","1.0","1.8313984870910645"
"par","1.0","8.4952068328857422"
"younger than she are happy mothers made","1.0","2.8270812034606934"
"cap","0.0","-1.5365645885467529"
"and too soon marr'd are those so early made","0.0","-2.9760527610778809"
"the earth hath swallowed all my hopes but she       she is the hopeful lady of my earth","0.0","-3.78639817237854"
"but woo her, gentle paris, get her heart       my will to her consent is but a part","1.0","2.9581673145294189"
"an she agree, within her scope of choice      lies my consent and fair according voice","1.0","6.3810825347900391"
"this night i hold an old accustom'd feast,      whereto i have invited many a guest,      such as i love  and you among the store,      one more, most welcome, makes my number more","1.0","2.5535182952880859"
"at my poor house look to behold this night      earth treading stars that make dark heaven light","0.0","-4.2904596328735352"
"such comfort as do lusty young men feel      when well apparell'd april on the heel      of limping winter treads, even such delight      among fresh female buds shall you this night      inherit at my house","0.0","-5.834160327911377"
"hear all, all see,      and like her most whose merit most shall be       which, on more view of many, mine, being one,      may stand in number, though in reck'ning none","1.0","1.4134278297424316"
"come, go with me","1.0","2.1933813095092773"
"to servant, giving him a paper  go,      sirrah, trudge about      through fair verona  find those persons out      whose names are written there, and to them say,      my house and welcome on their pleasure stay                                        exeunt  capulet and paris","1.0","0.27023935317993164"
"serv","0.0","-1.5365645885467529"
"find them out whose names are written here?","0.0","-3.4916117191314697"
"it is written      that the shoemaker should meddle with his yard and the tailor      with his last, the fisher with his pencil and the painter      with his nets  but i am sent to find those persons whose names are      here writ, and can never find what names the writing person      hath here writ","1.0","1.398611307144165"
"i must to the learned","0.0","-1.9404046535491943"
"in good time!","1.0","4.7669744491577148"
"enter benvolio and romeo","1.0","4.401207447052002"
"ben","0.0","-11.349556922912598"
"tut, man, one fire burns out another's burning       one pain is lessoned by another's anguish       turn giddy, and be holp by backward turning       one desperate grief cures with another's languish","0.0","-5.0541844367980957"
"take thou some new infection to thy eye,      and the rank poison of the old will die","1.0","5.8866443634033203"
"rom","0.0","-1.7296195030212402"
"your plantain leaf is excellent for that","1.0","4.3112077713012695"
"ben","0.0","-11.349556922912598"
"for what, i pray thee?","1.0","2.2758769989013672"
"rom","0.0","-1.7296195030212402"
"for your broken shin","1.0","4.1587777137756348"
"ben","0.0","-11.349556922912598"
"why, romeo, art thou mad?","0.0","-4.4636354446411133"
"rom","0.0","-1.7296195030212402"
"not mad, but bound more than a madman is       shut up in prison, kept without my food,      whipp'd and tormented and  god den, good fellow","1.0","1.6127371788024902"
"serv","0.0","-1.5365645885467529"
"god gi' go den","1.0","4.5416603088378906"
"i pray, sir, can you read?","0.0","-0.2369462251663208"
"rom","0.0","-1.7296195030212402"
"ay, mine own fortune in my misery","0.0","-2.6934206485748291"
"serv","0.0","-1.5365645885467529"
"perhaps you have learned it without book","0.0","-3.5915603637695312"
"but i pray, can      you read anything you see?","1.0","2.5107147693634033"
"rom","0.0","-1.7296195030212402"
"ay, if i know the letters and the language","1.0","4.7681670188903809"
"serv","0.0","-1.5365645885467529"
"ye say honestly","0.0","-6.0741372108459473"
"rest you merry!","1.0","1.0149092674255371"
"rom","0.0","-1.7296195030212402"
"stay, fellow  i can read","1.0","1.9151690006256104"
"he reads","0.0","-2.9423336982727051"
"'signior martino and his wife and daughters         county anselmo and his beauteous sisters         the lady widow of vitruvio         signior placentio and his lovely nieces         mercutio and his brother valentine         mine uncle capulet, his wife, and daughters         my fair niece rosaline and livia         signior valentio and his cousin tybalt         lucio and the lively helena '","1.0","6.5961623191833496"
"gives back the paper","0.0","-1.0019960403442383"
"a fair assembly","1.0","2.7805137634277344"
"whither should they      come?","1.0","1.5351865291595459"
"serv","0.0","-1.5365645885467529"
"up","0.0","-2.1668503284454346"
"rom","0.0","-1.7296195030212402"
"whither?","1.0","0.89373111724853516"
"serv","0.0","-1.5365645885467529"
"to supper, to our house","1.0","3.9262740612030029"
"rom","0.0","-1.7296195030212402"
"whose house?","1.0","2.2520909309387207"
"serv","0.0","-1.5365645885467529"
"my master's","1.0","3.5517187118530273"
"rom","0.0","-1.7296195030212402"
"indeed i should have ask'd you that before","1.0","2.4417724609375"
"serv","0.0","-1.5365645885467529"
"now i'll tell you without asking","0.0","-0.54285883903503418"
"my master is the great      rich capulet  and if you be not of the house of montagues, i pray      come and crush a cup of wine","1.0","4.8723487854003906"
"rest you merry!","1.0","1.0149092674255371"
"exit","0.0","-5.5216097831726074"
"ben","0.0","-11.349556922912598"
"at this same ancient feast of capulet's      sups the fair rosaline whom thou so lov'st       with all the admired beauties of verona","1.0","1.0908613204956055"
"go thither, and with unattainted eye      compare her face with some that i shall show,      and i will make thee think thy swan a crow","1.0","0.13297224044799805"
"rom","0.0","-1.7296195030212402"
"when the devout religion of mine eye      maintains such falsehood, then turn tears to fires       and these, who, often drown'd, could never die,      transparent heretics, be burnt for liars!","1.0","2.5742273330688477"
"one fairer than my love?","1.0","4.9161777496337891"
"the all seeing sun      ne'er saw her match since first the world begun","1.0","6.1876540184020996"
"ben","0.0","-11.349556922912598"
"tut!","1.0","4.2881808280944824"
"you saw her fair, none else being by,      herself pois'd with herself in either eye       but in that crystal scales let there be weigh'd      your lady's love against some other maid      that i will show you shining at this feast,      and she shall scant show well that now seems best","1.0","3.0218019485473633"
"rom","0.0","-1.7296195030212402"
"i'll go along, no such sight to be shown,      but to rejoice in splendour of my own","1.0","0.52363038063049316"
"exeunt","0.0","-1.5365645885467529"
"scene iii","0.0","-8.1076774597167969"
"capulet's house","1.0","0.43415522575378418"
"enter capulet's wife, and nurse","1.0","7.0095386505126953"
"wife","1.0","8.3512897491455078"
"nurse, where's my daughter?","1.0","4.1019649505615234"
"call her forth to me","1.0","6.2742633819580078"
"nurse","1.0","4.3789544105529785"
"now, by my maidenhead at twelve year old,      i bade her come","0.0","-0.74863415956497192"
"what, lamb!","1.0","2.1471149921417236"
"what ladybird!","1.0","2.9412784576416016"
"god forbid!","1.0","3.2603435516357422"
"where's this girl?","1.0","3.6448178291320801"
"what, juliet!","0.0","-4.6294136047363281"
"enter juliet","0.0","-8.0835533142089844"
"jul","0.0","-1.5365645885467529"
"how now?","1.0","6.211634635925293"
"who calls?","1.0","2.6386666297912598"
"nurse","1.0","4.3789544105529785"
"your mother","1.0","3.2315702438354492"
"jul","0.0","-1.5365645885467529"
"madam, i am here","1.0","1.6991989612579346"
"what is your will?","1.0","3.1823601722717285"
"wife","1.0","8.3512897491455078"
"this is the matter  nurse, give leave awhile,      we must talk in secret","0.0","-3.8013126850128174"
"nurse, come back again       i have rememb'red me, thou's hear our counsel","1.0","2.1486687660217285"
"thou knowest my daughter's of a pretty age","1.0","5.4114165306091309"
"nurse","1.0","4.3789544105529785"
"faith, i can tell her age unto an hour","1.0","1.5243034362792969"
"wife","1.0","8.3512897491455078"
"she's not fourteen","0.0","-0.29713630676269531"
"nurse","1.0","4.3789544105529785"
"i'll lay fourteen of my teeth       and yet, to my teen be it spoken, i have but four       she is not fourteen","1.0","7.292292594909668"
"how long is it now      to lammastide?","1.0","0.3603663444519043"
"wife","1.0","8.3512897491455078"
"a fortnight and odd days","1.0","0.56802797317504883"
"nurse","1.0","4.3789544105529785"
"even or odd, of all days in the year,      come lammas eve at night shall she be fourteen","0.0","-3.2688267230987549"
"susan and she (god rest all christian souls!)","0.0","-3.3044428825378418"
"were of an age","1.0","5.1822614669799805"
"well, susan is with god       she was too good for me","0.0","-1.9424371719360352"
"but, as i said,      on lammas eve at night shall she be fourteen       that shall she, marry  i remember it well","0.0","-2.2063729763031006"
"'tis since the earthquake now eleven years       and she was wean'd (i never shall forget it),      of all the days of the year, upon that day       for i had then laid wormwood to my dug,      sitting in the sun under the dovehouse wall","0.0","-3.2182505130767822"
"my lord and you were then at mantua","1.0","3.7220077514648438"
"nay, i do bear a brain","0.0","-1.9007763862609863"
"but, as i said,      when it did taste the wormwood on the nipple      of my dug and felt it bitter, pretty fool,      to see it tetchy and fall out with the dug!","1.0","0.14833605289459229"
"shake, quoth the dovehouse!","0.0","-1.4558610916137695"
"'twas no need, i trow,      to bid me trudge","0.0","-1.218724250793457"
